name,slug,domain,course_id,description,difficulty,value
Up The Mountain,1fhcutscene1b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Following the Signs,1fhm1l1l1b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Around the Pond,1fhm1l1l2b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
The Lonely Tower,1fhm1l1l3b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Tower Climb,1fhm1l1l4b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Escalation,1fhm1l1l5b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Stairway to Mystery,1fhm1l1l6b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
The Acodus,1fhm1l1l8b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
The Spirit Lands,1fhcutscene2b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Fixing the Light,1fhm1l2intro1b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Building a Path,1fhm1l2l1b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Building Stuff,1fhm1l2intro2b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Helping Hands,1fhm1l2l2b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Luminous,1fhm1l2l4b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Spirited Away,1fhm1l2l5b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Crystal Clear,1fhm1l2l6b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
A Better World,1fhm1l2outrob,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Darkness is Coming,1fhcutscene3b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Trapping Darkness,1fhm1l3intro1b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Gauntlet,1fhcapstoneb,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Builder Things,1fhm1l3intro2b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Finishing Touches,1fhm1l3intro3b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
Trapping the Dark,1fhcutscene4b,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
The Beginning,1fhm1l3outrob,www.ozaria.com,5d41d731a8d1836b5aa3cba1,No description provided.,Easy,1
The Moon Dancers,1upm3l1intro1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Two Steps,1upm3l1l1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Of Variables and Mazes,1upm3l1intro2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Changing Distance,1upm3l1l2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Same Route,1upm3l1l3b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Own Steps,1upm3l1l4b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Remembering,1upm3l2intro1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Gather Ye Totems,1upm3l2l1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
While Ye May,1upm3l2l2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Old Time is Still a-Flying,1upm3l2l3b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Down for the Night,1upm3l2outrob,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Strings and Illusions,1upm3l3intro1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Mist Star,1upm3l3l1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Hidden Strings,1upm3l3intro2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Mistings,1upm3l3l2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
In Mist Together,1upm3l3l3b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Illusion Walkers,1upm3l3l4b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Finding the Unknown,1upm3l4intro1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Spectacular Escape,1upm3l4l1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Reassigning Strings,1upm3l4intro2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Double Escape,1upm3l4l2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Number Two,1upm3l4l3b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Double Pi,1upm3l4cl1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Xing'chen,1upm3l4outrob,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Xing'chen,1upm4l1intro1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
The Earth Academy,1upm4l1cutscene2,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Finding Things,1upm4l1intro2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Can Pass,1upm4l1l1b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Finding Conditionals,1upm4l1intro3b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
Market Day,1upm4l1l2b,www.ozaria.com,5d8a57abe8919b28d5113af1,No description provided.,Medium,1.5
