conversation_id,user_id
1,2
2,2
3,4
3,5
3,6
3,7
4,2
4,8
4,9
5,2
5,7
5,6
5,4
5,10
6,8
6,11
6,2
7,12
7,2
9,2
9,4
9,7
9,6
9,10
10,14
10,2
10,51
10,32
10,30
10,7
11,6
11,10
12,2
12,9
12,8
13,14
13,24
13,2
14,52
14,2
15,4
15,6
15,7
15,5
15,2
16,9
16,8
16,40
16,2
18,24
18,51
18,32
18,2
19,7
19,6
19,4
19,30
19,2
19,5
19,32
20,2
20,9
20,40
20,8
20,11
21,51
21,24
21,54
21,2
22,5
22,7
22,6
22,4
23,15
23,52
23,56
23,6
23,7
23,2
24,9
24,8
24,40
24,11
24,4
24,2
24,6
24,5
25,32
25,7
25,30
25,2
25,24
26,2
27,30
27,6
27,32
27,5
27,7
28,2
29,12
29,44
30,12
30,44
31,2
31,24
31,108
32,56
32,108
32,2
32,12
33,2
33,12
33,24
33,46
33,13
34,2
34,54
34,46
34,13
34,24
34,43
35,2
35,32
35,6
35,30
35,7
35,23
35,27
36,40
36,101
36,60
36,12
36,44
36,2
37,44
37,12
38,2
41,2
41,43
41,46
41,35
41,29
41,15
41,25
41,56
42,52
42,102
42,108
42,36
42,23
42,22
42,27
43,2
43,44
43,43
43,46
43,35
43,24
44,2
44,108
44,102
44,56
45,108
45,2
45,23
45,36
45,27
46,23
46,27
46,36
46,2
47,2
47,44
48,44
48,12
48,35
48,43
48,24
48,46
48,2
49,29
49,2
49,15
50,2
51,108
53,102
54,102
54,23
54,22
54,27
54,36
54,2
54,60
55,60
55,40
55,11
55,2
56,44
56,12
56,2
57,2
57,46
57,43
58,43
58,46
58,24
58,35
58,2
59,29
59,2
60,15
60,29
60,9
61,108
61,102
61,56
62,27
62,22
63,47
63,11
63,40
63,12
63,44
63,2
64,12
64,44
64,2
65,42
65,2
66,24
66,46
66,35
66,43
67,46
67,24
67,35
67,43
67,2
68,15
68,29
68,9
69,108
69,52
69,2
69,102
69,56
69,23
72,27
72,22
73,11
73,60
74,44
74,12
74,43
74,24
74,35
74,46
74,2
75,43
75,29
76,2
76,9
76,61
76,108
77,56
77,2
77,108
77,27
77,22
77,36
77,30
77,32
77,23
77,60
78,40
