id,username,domain,challenge_name,course_id,course_instance,timestamp
1,blossomstudent02,codecombat.com,phd-kitty,5632661322961295f9428638,663de608483c9240bb4d8cbf,2025-03-08 07:21:29.953187
2,blossomstudent02,codecombat.com,pet-quiz,5632661322961295f9428638,663de608483c9240bb4d8cbf,2025-03-08 07:28:06.170895
3,blossomstudent02,codecombat.com,buddys-name,5632661322961295f9428638,663de608483c9240bb4d8cbf,2025-03-15 06:15:11.678648
4,ben,www.ozaria.com,ch3m1l2l4b,,,2025-03-18 11:09:53.680786
5,blossomstudent27,www.ozaria.com,ch3m1l1l1b,,,2025-03-18 11:13:33.717705
6,test,CodeCombat,Dungeon Escape,,,2025-03-21 16:08:37
7,test,CodeCombat,Loop Master,,,2025-03-21 16:08:37
8,test,codecombat.com,Kithgard Gates,560f1a9f22961295f9427742,,2025-03-22 02:44:13
9,test,codecombat.com,Wakka Maul,560f1a9f22961295f9427742,,2025-03-22 02:44:13
10,test,codecombat.com,Safe Place,560f1a9f22961295f9427742,,2025-03-22 02:44:13
11,test,codecombat.com,The Final Kithmaze,560f1a9f22961295f9427742,,2025-03-22 02:44:13
12,test,codecombat.com,Master Of Names Debug,560f1a9f22961295f9427742,,2025-03-22 02:44:13
13,test,codecombat.com,Master of Names,560f1a9f22961295f9427742,,2025-03-22 02:44:13
14,test,codecombat.com,Cupboards of Kithgard B,560f1a9f22961295f9427742,,2025-03-22 02:44:13
15,test,codecombat.com,Lowly Kithmen,560f1a9f22961295f9427742,,2025-03-22 02:44:13
16,test,codecombat.com,Cupboards of Kithgard A,560f1a9f22961295f9427742,,2025-03-22 02:44:13
17,test,codecombat.com,Closing the Distance,560f1a9f22961295f9427742,,2025-03-22 02:44:13
18,test,codecombat.com,Cupboards of Kithgard,560f1a9f22961295f9427742,,2025-03-22 02:44:13
19,test,codecombat.com,Known Enemy,560f1a9f22961295f9427742,,2025-03-22 02:44:13
20,test,codecombat.com,Loop Warehouse,560f1a9f22961295f9427742,,2025-03-22 02:44:13
21,test,codecombat.com,Dread Door,560f1a9f22961295f9427742,,2025-03-22 02:44:13
22,test,codecombat.com,The Raised Sword,560f1a9f22961295f9427742,,2025-03-22 02:44:13
23,test,codecombat.com,Crawlways of Kithgard,560f1a9f22961295f9427742,,2025-03-22 02:44:13
24,test,codecombat.com,Hack and Dash,560f1a9f22961295f9427742,,2025-03-22 02:44:13
25,test,codecombat.com,Descending Further,560f1a9f22961295f9427742,,2025-03-22 02:44:13
26,test,codecombat.com,Haunted Kithmaze,560f1a9f22961295f9427742,,2025-03-22 02:44:13
27,test,codecombat.com,Forgetful Gemsmith,560f1a9f22961295f9427742,,2025-03-22 02:44:13
28,test,codecombat.com,Favorable Odds,560f1a9f22961295f9427742,,2025-03-22 02:44:13
29,test,codecombat.com,Kounter Kithwise,560f1a9f22961295f9427742,,2025-03-22 02:44:13
30,test,codecombat.com,Fire Dancing,560f1a9f22961295f9427742,,2025-03-22 02:44:13
31,test,codecombat.com,Riddling Kithmaze,560f1a9f22961295f9427742,,2025-03-22 02:44:13
32,test,codecombat.com,The Prisoner,560f1a9f22961295f9427742,,2025-03-22 02:44:13
33,test,codecombat.com,Dungeons of Kithgard,560f1a9f22961295f9427742,,2025-03-22 02:44:13
34,test,codecombat.com,Radiant Aura,560f1a9f22961295f9427742,,2025-03-22 02:44:13
35,test,codecombat.com,Gems in the Deep,560f1a9f22961295f9427742,,2025-03-22 02:44:13
36,test,codecombat.com,Illusory Interruption,560f1a9f22961295f9427742,,2025-03-22 02:44:13
37,test,codecombat.com,Kithgard Librarian,560f1a9f22961295f9427742,,2025-03-22 02:44:13
38,test,codecombat.com,Sleep Hour,560f1a9f22961295f9427742,,2025-03-22 02:44:13
39,test,codecombat.com,Shadow Guard,560f1a9f22961295f9427742,,2025-03-22 02:44:13
40,test,codecombat.com,True Names,560f1a9f22961295f9427742,,2025-03-22 02:44:13
41,test,codecombat.com,Dangerous Steps,560f1a9f22961295f9427742,,2025-03-22 02:44:13
42,test,codecombat.com,Cell Commentary,560f1a9f22961295f9427742,,2025-03-22 02:44:13
43,test,codecombat.com,Enemy Mine,560f1a9f22961295f9427742,,2025-03-22 02:44:13
44,test,codecombat.com,Long Steps,560f1a9f22961295f9427742,,2025-03-22 02:44:13
45,test,codecombat.com,Careful Steps,560f1a9f22961295f9427742,,2025-03-22 02:44:13
46,test,codecombat.com,JavaScript: Master of Names,5789587aad86a6efb5737020,,2025-03-22 02:56:27
47,test,codecombat.com,JavaScript: Lost in the Stacks,5789587aad86a6efb5737020,,2025-03-22 02:56:27
48,test,codecombat.com,JavaScript: Patrol Buster,5789587aad86a6efb5737020,,2025-03-22 02:56:27
49,test,codecombat.com,JavaScript: Fire Dancing,5789587aad86a6efb5737020,,2025-03-22 02:56:27
50,test,codecombat.com,JavaScript: Back to Back,5789587aad86a6efb5737020,,2025-03-22 02:56:27
51,test,codecombat.com,JavaScript: Maniac Munchkins,5789587aad86a6efb5737020,,2025-03-22 02:56:27
52,test,codecombat.com,JavaScript: True Names,5789587aad86a6efb5737020,,2025-03-22 02:56:27
53,test,codecombat.com,JavaScript: Stillness in Motion,5789587aad86a6efb5737020,,2025-03-22 02:56:27
54,test,codecombat.com,JavaScript: A Fine Mint,5789587aad86a6efb5737020,,2025-03-22 02:56:27
55,test,codecombat.com,JavaScript: Return to Thornbush Farm,5789587aad86a6efb5737020,,2025-03-22 02:56:27
56,test,codecombat.com,Query Confirmed,5789587aad86a6efb5737020,,2025-03-22 02:56:27
57,test,codecombat.com,Clickthrough,5789587aad86a6efb5737020,,2025-03-22 02:56:27
58,test,codecombat.com,Disappearing Act,5789587aad86a6efb5737020,,2025-03-22 02:56:27
59,test,codecombat.com,Toggulation,5789587aad86a6efb5737020,,2025-03-22 02:56:27
60,test,codecombat.com,Eventful Selectors,5789587aad86a6efb5737020,,2025-03-22 02:56:27
61,test,codecombat.com,Sibling Rivalry,5789587aad86a6efb5737020,,2025-03-22 02:56:27
62,test,codecombat.com,Border Patrol,5789587aad86a6efb5737020,,2025-03-22 02:56:27
63,test,codecombat.com,Marginal Utility,5789587aad86a6efb5737020,,2025-03-22 02:56:27
64,test,codecombat.com,Transformative Properties,5789587aad86a6efb5737020,,2025-03-22 02:56:27
65,test,codecombat.com,Animania,5789587aad86a6efb5737020,,2025-03-22 02:56:27
66,test,codecombat.com,Precision Coloring,5789587aad86a6efb5737020,,2025-03-22 02:56:27
67,test,codecombat.com,Quizlet,5789587aad86a6efb5737020,,2025-03-22 02:56:27
68,blossomstudent30,codecombat.com,Kithgard Gates,560f1a9f22961295f9427742,,2025-03-22 03:01:20
69,blossomstudent30,codecombat.com,Wakka Maul,560f1a9f22961295f9427742,,2025-03-22 03:01:20
70,blossomstudent30,codecombat.com,Safe Place,560f1a9f22961295f9427742,,2025-03-22 03:01:20
71,blossomstudent30,codecombat.com,The Final Kithmaze,560f1a9f22961295f9427742,,2025-03-22 03:01:20
72,blossomstudent30,codecombat.com,Master Of Names Debug,560f1a9f22961295f9427742,,2025-03-22 03:01:20
73,blossomstudent30,codecombat.com,Master of Names,560f1a9f22961295f9427742,,2025-03-22 03:01:20
74,blossomstudent30,codecombat.com,Cupboards of Kithgard B,560f1a9f22961295f9427742,,2025-03-22 03:01:20
75,blossomstudent30,codecombat.com,Lowly Kithmen,560f1a9f22961295f9427742,,2025-03-22 03:01:20
76,blossomstudent30,codecombat.com,Cupboards of Kithgard A,560f1a9f22961295f9427742,,2025-03-22 03:01:20
77,blossomstudent30,codecombat.com,Closing the Distance,560f1a9f22961295f9427742,,2025-03-22 03:01:20
78,blossomstudent30,codecombat.com,Cupboards of Kithgard,560f1a9f22961295f9427742,,2025-03-22 03:01:20
79,blossomstudent30,codecombat.com,Known Enemy,560f1a9f22961295f9427742,,2025-03-22 03:01:20
80,blossomstudent30,codecombat.com,Loop Warehouse,560f1a9f22961295f9427742,,2025-03-22 03:01:20
81,blossomstudent30,codecombat.com,Dread Door,560f1a9f22961295f9427742,,2025-03-22 03:01:20
82,blossomstudent30,codecombat.com,The Raised Sword,560f1a9f22961295f9427742,,2025-03-22 03:01:20
83,blossomstudent30,codecombat.com,Crawlways of Kithgard,560f1a9f22961295f9427742,,2025-03-22 03:01:20
84,blossomstudent30,codecombat.com,Hack and Dash,560f1a9f22961295f9427742,,2025-03-22 03:01:20
85,blossomstudent30,codecombat.com,Descending Further,560f1a9f22961295f9427742,,2025-03-22 03:01:20
86,blossomstudent30,codecombat.com,Haunted Kithmaze,560f1a9f22961295f9427742,,2025-03-22 03:01:20
87,blossomstudent30,codecombat.com,Forgetful Gemsmith,560f1a9f22961295f9427742,,2025-03-22 03:01:20
88,blossomstudent30,codecombat.com,Favorable Odds,560f1a9f22961295f9427742,,2025-03-22 03:01:20
89,blossomstudent30,codecombat.com,Kounter Kithwise,560f1a9f22961295f9427742,,2025-03-22 03:01:20
90,blossomstudent30,codecombat.com,Fire Dancing,560f1a9f22961295f9427742,,2025-03-22 03:01:20
91,blossomstudent30,codecombat.com,Riddling Kithmaze,560f1a9f22961295f9427742,,2025-03-22 03:01:20
92,blossomstudent30,codecombat.com,The Prisoner,560f1a9f22961295f9427742,,2025-03-22 03:01:20
93,blossomstudent30,codecombat.com,Dungeons of Kithgard,560f1a9f22961295f9427742,,2025-03-22 03:01:20
94,blossomstudent30,codecombat.com,Radiant Aura,560f1a9f22961295f9427742,,2025-03-22 03:01:20
95,blossomstudent30,codecombat.com,Gems in the Deep,560f1a9f22961295f9427742,,2025-03-22 03:01:20
96,blossomstudent30,codecombat.com,Illusory Interruption,560f1a9f22961295f9427742,,2025-03-22 03:01:20
97,blossomstudent30,codecombat.com,Kithgard Librarian,560f1a9f22961295f9427742,,2025-03-22 03:01:20
98,blossomstudent30,codecombat.com,Sleep Hour,560f1a9f22961295f9427742,,2025-03-22 03:01:20
99,blossomstudent30,codecombat.com,Shadow Guard,560f1a9f22961295f9427742,,2025-03-22 03:01:20
100,blossomstudent30,codecombat.com,True Names,560f1a9f22961295f9427742,,2025-03-22 03:01:20
101,blossomstudent30,codecombat.com,Dangerous Steps,560f1a9f22961295f9427742,,2025-03-22 03:01:20
102,blossomstudent30,codecombat.com,Cell Commentary,560f1a9f22961295f9427742,,2025-03-22 03:01:20
103,blossomstudent30,codecombat.com,Enemy Mine,560f1a9f22961295f9427742,,2025-03-22 03:01:20
104,blossomstudent30,codecombat.com,Long Steps,560f1a9f22961295f9427742,,2025-03-22 03:01:20
105,blossomstudent30,codecombat.com,Careful Steps,560f1a9f22961295f9427742,,2025-03-22 03:01:20
106,blossomstudent19,codecombat.com,Kithgard Gates,560f1a9f22961295f9427742,,2025-03-22 03:44:43
107,blossomstudent19,codecombat.com,Wakka Maul,560f1a9f22961295f9427742,,2025-03-22 03:44:43
108,blossomstudent19,codecombat.com,Safe Place,560f1a9f22961295f9427742,,2025-03-22 03:44:43
109,blossomstudent19,codecombat.com,The Final Kithmaze,560f1a9f22961295f9427742,,2025-03-22 03:44:43
110,blossomstudent19,codecombat.com,Master Of Names Debug,560f1a9f22961295f9427742,,2025-03-22 03:44:43
111,blossomstudent19,codecombat.com,Master of Names,560f1a9f22961295f9427742,,2025-03-22 03:44:43
112,blossomstudent19,codecombat.com,Cupboards of Kithgard B,560f1a9f22961295f9427742,,2025-03-22 03:44:43
113,blossomstudent19,codecombat.com,Lowly Kithmen,560f1a9f22961295f9427742,,2025-03-22 03:44:43
114,blossomstudent19,codecombat.com,Cupboards of Kithgard A,560f1a9f22961295f9427742,,2025-03-22 03:44:43
115,blossomstudent19,codecombat.com,Closing the Distance,560f1a9f22961295f9427742,,2025-03-22 03:44:43
116,blossomstudent19,codecombat.com,Cupboards of Kithgard,560f1a9f22961295f9427742,,2025-03-22 03:44:43
117,blossomstudent19,codecombat.com,Known Enemy,560f1a9f22961295f9427742,,2025-03-22 03:44:43
118,blossomstudent19,codecombat.com,Loop Warehouse,560f1a9f22961295f9427742,,2025-03-22 03:44:43
119,blossomstudent19,codecombat.com,Dread Door,560f1a9f22961295f9427742,,2025-03-22 03:44:43
120,blossomstudent19,codecombat.com,The Raised Sword,560f1a9f22961295f9427742,,2025-03-22 03:44:43
121,blossomstudent19,codecombat.com,Crawlways of Kithgard,560f1a9f22961295f9427742,,2025-03-22 03:44:43
122,blossomstudent19,codecombat.com,Hack and Dash,560f1a9f22961295f9427742,,2025-03-22 03:44:43
123,blossomstudent19,codecombat.com,Descending Further,560f1a9f22961295f9427742,,2025-03-22 03:44:43
