id,name,slug,domain,course_id,description,difficulty,value,is_active,created_at
1,Kithgard Gates,kithgard-gates,codecombat.com,560f1a9f22961295f9427742,"Escape the Kithgard dungeons, and don't let the guardians get you.",easy,1,1,2025-02-04 10:53:46
2,Wakka Maul,wakka-maul,codecombat.com,560f1a9f22961295f9427742,Battle your classmates while gobbling up gems! Use your programming skills and creative thinking to gain an edge over your friends.,easy,1,1,2025-02-04 10:53:46
3,Safe Place,safe-place,codecombat.com,560f1a9f22961295f9427742,"Use arguments, while loops, and variables to defeat the ogres.",easy,1,1,2025-02-04 10:53:46
4,The Final Kithmaze,the-final-kithmaze,codecombat.com,560f1a9f22961295f9427742,To escape you must find your way through an elder Kithman's maze.,easy,1,1,2025-02-04 10:53:46
5,Master Of Names Debug,master-of-names-debug,codecombat.com,560f1a9f22961295f9427742,Use your new coding powers to target nameless enemies.,easy,1,1,2025-02-04 10:53:46
6,Master of Names,master-of-names,codecombat.com,560f1a9f22961295f9427742,Use your new coding powers to target nameless enemies.,easy,1,1,2025-02-04 10:53:46
7,Cupboards of Kithgard B,cupboards-of-kithgard-b,codecombat.com,560f1a9f22961295f9427742,Who knows what horrors lurk in the Cupboards of Kithgard?,easy,1,1,2025-02-04 10:53:46
8,Lowly Kithmen,lowly-kithmen,codecombat.com,560f1a9f22961295f9427742,Use your glasses to seek out and attack the Kithmen.,easy,1,1,2025-02-04 10:53:46
9,Cupboards of Kithgard A,cupboards-of-kithgard-a,codecombat.com,560f1a9f22961295f9427742,Who knows what horrors lurk in the Cupboards of Kithgard?,easy,1,1,2025-02-04 10:53:46
10,Closing the Distance,closing-the-distance,codecombat.com,560f1a9f22961295f9427742,Some enemies will require different battle tactics.,easy,1,1,2025-02-04 10:53:46
11,Cupboards of Kithgard,cupboards-of-kithgard,codecombat.com,560f1a9f22961295f9427742,Who knows what horrors lurk in the Cupboards of Kithgard?,easy,1,1,2025-02-04 10:53:46
12,Known Enemy,known-enemy,codecombat.com,560f1a9f22961295f9427742,Using your first variable to achieve victory.,easy,1,1,2025-02-04 10:53:46
13,Loop Warehouse,loop-warehouse,codecombat.com,560f1a9f22961295f9427742,Loop your route through the ogre warehouse.,easy,1,1,2025-02-04 10:53:46
14,Dread Door,dread-door,codecombat.com,560f1a9f22961295f9427742,Behind a dread door lies a chest full of riches.,easy,1,1,2025-02-04 10:53:46
15,The Raised Sword,the-raised-sword,codecombat.com,560f1a9f22961295f9427742,Learn to equip yourself for combat.,easy,1,1,2025-02-04 10:53:46
16,Crawlways of Kithgard,crawlways-of-kithgard,codecombat.com,560f1a9f22961295f9427742,"Two hallways, one solution. Timing is of the essence.",easy,1,1,2025-02-04 10:53:46
17,Hack and Dash,hack-and-dash,codecombat.com,560f1a9f22961295f9427742,Escape the Dungeon Sprite with the help of a speed potion.,easy,1,1,2025-02-04 10:53:46
18,Descending Further,descending-further,codecombat.com,560f1a9f22961295f9427742,Use a loop to navigate efficiently.,easy,1,1,2025-02-04 10:53:46
19,Haunted Kithmaze,haunted-kithmaze,codecombat.com,560f1a9f22961295f9427742,A maze constructed to confuse travelers.,easy,1,1,2025-02-04 10:53:46
